abandoned adj.  1 deserted, forsaken. 2 unrestrained, profligate.
mar v.  (-rr-) spoil; disfigure. [old english]
marathon n.  1 long-distance running race, usu. Of 26 miles 385 yards (42.195 km). 2 long-lasting or difficult undertaking etc. [marathon in greece, scene of a decisive battle in 490 bc: a messenger supposedly ran with news of the outcome to athens]
march n.  Third month of the year. [latin martius of mars]
marijuana n.  (also marihuana) dried leaves etc. Of hemp, smoked in cigarettes as a drug. [american spanish]
marina n.  Harbour for pleasure-yachts etc. [latin: related to *marine]
maritime adj.  1 connected with the sea or seafaring (maritime insurance). 2 living or found near the sea. [latin: related to *marine]
marked adj.  1 having a visible mark. 2 clearly noticeable (marked difference). 3 (of playing-cards) marked on their backs to assist cheating.  markedly adv.
marker n.  1 thing marking a position etc. 2 person or thing that marks. 3 broad-tipped felt-tipped pen. 4 scorer in a game.
marking n.  (usu. In pl.) 1 identification mark. 2 colouring of an animal's fur etc.
marriage n.  1 legal union of a man and a woman for cohabitation and often procreation. 2 act or ceremony marking this. 3 particular such union (a happy marriage). 4 intimate union, combination. [french marier *marry]
marsh n.  (often attrib.) Low watery land.  marshy adj. (-ier, -iest). Marshiness n. [old english]
mart n.  1 trade centre. 2 auction-room. 3 market. [dutch: related to *market]
martial adj.  1 of warfare. 2 warlike. [latin martialis of mars]
martin n.  A kind of swallow, esp. The house-martin and sand-martin. [probably st martin, name of a 4th-c. Bishop]
mason n.  1 person who builds with stone. 2 (mason) freemason. [french]
massive adj.  1 large and heavy or solid. 2 (of the features, head, etc.) Relatively large or solid. 3 exceptionally large or severe (massive heart attack). 4 substantial, impressive.  massively adv. Massiveness n. [latin: related to *mass1]
maternity n.  1 motherhood. 2 motherliness. 3 (attrib.) For women during pregnancy and childbirth (maternity leave; maternity dress). [french from medieval latin: related to *maternal]
math n.  Us colloq. Mathematics. [abbreviation]
matrix n.  (pl. Matrices or -es) 1 mould in which a thing is cast or shaped. 2 place etc. In which a thing is developed. 3 rock in which gems, fossils, etc., are embedded. 4 math. Rectangular array of elements treated as a single element. [latin, = womb]
mattress n.  Stuffed, or air- or water-filled cushion the size of a bed. [arabic almatrah]
maximize v.  (also -ise) (-zing or -sing) make as large or great as possible.  maximization n. [latin: related to *maximum]
may n.  1 fifth month of the year. 2 (may) hawthorn, esp. In blossom. [latin maius of the goddess maia]
mayor n.  1 head of the corporation of a city or borough. 2 head of a district council with the status of a borough.  mayoral adj. [latin: related to *major]
measured adj.  1 rhythmical; regular (measured tread). 2 (of language) carefully considered.
meat n.  1 animal flesh as food. 2 (often foll. By of) substance; chief part.  meatless adj. [old english]
mechanism n.  1 structure or parts of a machine. 2 system of parts working together. 3 process; method (defence mechanism; no mechanism for complaints).  mechanistic adj. [greek: related to *machine]
med n.  Colloq. Mediterranean sea. [abbreviation]
medal n.  Commemorative metal disc etc., esp. Awarded for military or sporting prowess. [latin: related to *metal]
medicare n.  Us federally funded health insurance scheme for the elderly. [from *medical, *care]
medicine n.  1 science or practice of the diagnosis, treatment, and prevention of disease, esp. As distinct from surgery. 2 drug etc. For the treatment or prevention of disease, esp. Taken by mouth.  take one's medicine submit to something disagreeable. [latin medicina]
medieval adj.  (also mediaeval) 1 of the middle ages. 2 colloq. Old-fashioned. [latin medium aevum middle age]
meeting n.  1 coming together. 2 assembly of esp. A society, committee, etc. 3 = *race meeting.
member n.  1 person etc. Belonging to a society, team, group, etc. 2 (member) person elected to certain assemblies etc. 3 part of a larger structure, e.g. Of a group of figures or a mathematical set. 4 a part or organ of the body, esp. A limb. B = *penis. [latin membrum limb]
membrane n.  1 pliable sheetlike tissue connecting or lining organs in plants and animals. 2 thin pliable sheet or skin.  membranous adj. [latin membrana skin, parchment: related to *member]
memo n.  (pl. -s) colloq. Memorandum. [abbreviation]
memory n.  (pl. -ies) 1 faculty by which things are recalled to or kept in the mind. 2 a this in an individual (my memory is failing). B store of things remembered (deep in my memory). 3 recollection; remembrance, esp. Of a person etc.; person or thing remembered (memory of better times; his mother's memory). 4 storage capacity of a computer etc. 5 posthumous reputation (his memory lives on; of blessed memory). 6 length of remembered time of a specific person, group, etc. (within living memory). 7 remembering (deed worthy of memory).  from memory as remembered (without checking). In memory of to keep alive the remembrance of. [latin memoria from memor mindful]
mental adj.  1 of, in, or done by the mind. 2 caring for mental patients. 3 colloq. Insane.  mentally adv. [latin mens ment- mind]
mentor n.  Experienced and trusted adviser. [mentor in homer's odyssey]
menu n.  1 list of dishes available in a restaurant etc., or to be served at a meal. 2 computing list of options displayed on a vdu. [latin: related to *minute2]
merchant n.  1 wholesale trader, esp. With foreign countries. 2 esp. Us & scot. Retail trader. 3 colloq. Usu. Derog. Person devoted to a specified activity etc. (speed merchant). [latin mercor trade (v.)]
mercury n.  1 silvery heavy liquid metallic element used in barometers, thermometers, etc. 2 (mercury) planet nearest to the sun.  mercuric adj. Mercurous adj. [latin mercurius, roman messenger-god]
merge v.  (-ging) 1 (often foll. By with) a combine. B join or blend gradually. 2 (foll. By in) (cause to) lose character and identity in (something else). [latin mergo dip]
merger n.  Combining, esp. Of two commercial companies etc. Into one.
merry adj.  (-ier, -iest) 1 a joyous. B full of laughter or gaiety. 2 colloq. Slightly drunk.  make merry be festive.  merrily adv. Merriment n. Merriness n. [old english]
message n.  1 communication sent by one person to another. 2 exalted or spiritual communication. 3 (in pl.) Scot., ir., & n.engl. Shopping.  get the message colloq. Understand (a hint etc.). [latin mitto miss- send]
messenger n.  Person who carries a message.
metallic adj.  1 of or like metal or metals (metallic taste). 2 sounding like struck metal. 3 shiny (metallic blue).  metallically adv.
method n.  1 way of doing something; systematic procedure. 2 orderliness; regular habits.  method in one's madness sense in apparently foolish or strange behaviour. [greek: related to *meta-, hodos way]
metric adj.  Of or based on the metre. [french: related to *metre1]
metro n.  (pl. -s) underground railway system, esp. In paris. [french shortened from métropolitain metropolitan]
micro n.  (pl. -s) colloq. 1 = *microcomputer. 2 = *microprocessor.
midi n.  (also midi) an interface allowing electronic musical instruments, synthesizers, and computers to be interconnected and used simultaneously. [abbreviation of musical instrument digital interface]
midnight n.  Middle of the night; 12 o'clock at night. [old english]
midwest n.  Region of the us adjoining the northern mississippi.
mike n.  Colloq. Microphone. [abbreviation]
mil n.  One-thousandth of an inch, as a unit of measure for the diameter of wire etc. [latin mille thousand]
mile n.  1 (also statute mile) unit of linear measure equal to 1,760 yards (approx. 1.6 kilometres). 2 (in pl.) Colloq. Great distance or amount (miles better). 3 race extending over a mile. [latin mille thousand]
mileage n.  (also milage) 1 number of miles travelled, esp. By a vehicle per unit of fuel. 2 colloq. Profit, advantage.
miller n.  1 proprietor or tenant of a mill, esp. A corn-mill. 2 person operating a milling machine. [related to *mill]
million n.  & adj. (pl. Same or (in sense 2) -s) (in sing. Prec. By a or one) 1 thousand thousand. 2 (in pl.) Colloq. Very large number. 3 million pounds or dollars.  millionth adj. & n. [french, probably from italian mille thousand]
mineral n.  (often attrib.) 1 inorganic substance. 2 substance obtained by mining. 3 (often in pl.)  Artificial mineral water or similar carbonated drink. [french or medieval latin: related to *mine2]
mini n.  (pl. -s) 1 colloq. Miniskirt. 2 (mini) propr. Make of small car. [abbreviation]
minimal adj.  1 very minute or slight. 2 being a minimum.  minimally adv.
minimize v.  (also -ise) (-zing or -sing) 1 reduce to, or estimate at, the smallest possible amount or degree. 2 estimate or represent at less than true value or importance.  minimization n.
ministry n.  (pl. -ies) 1 a government department headed by a minister. B building for this. 2 a (prec. By the) vocation, office, or profession of a religious minister. B period of tenure of this. 3 (prec. By the) body of ministers of a government or religion. 4 period of government under one prime minister. 5 ministering, ministration. [latin: related to *minister]
minority n.  (pl. -ies) 1 (often foll. By of) smaller number or part, esp. In politics. 2 state of having less than half the votes or support (in the minority). 3 small group of people differing from others in race, religion, language, etc. 4 (attrib.) Of or done by the minority (minority interests).  5 a being under full legal age.
miracle n.  1 extraordinary, supposedly supernatural, event. 2 remarkable occurrence or development (economic miracle). 3 (usu. Foll. By of) remarkable specimen (a miracle of ingenuity). [latin mirus wonderful]
missile n.  1 object or weapon suitable for throwing at a target or for discharge from a machine. 2 weapon directed by remote control or automatically. [latin mitto miss- send]
missing adj.  1 not in its place; lost. 2 (of a person) not yet traced or confirmed as alive but not known to be dead. 3 not present.
mission n.  1 a task or goal assigned to a person or group. B journey undertaken as part of this. C person's vocation. 2 military or scientific operation or expedition. 3 body of persons sent to conduct negotiations or propagate a religious faith. 4 missionary post. [latin: related to *missile]
mistress n.  1 female head of a household. 2 a woman in authority. B female owner of a pet.  3 female teacher. 4 woman having an illicit sexual relationship with a (usu. Married) man. [french maistre *master, *-ess]
mixed adj.  1 of diverse qualities or elements. 2 containing persons from various backgrounds etc. 3 for persons of both sexes (mixed school). [latin misceo mix]
mixer n.  1 machine for mixing foods etc. 2 person who manages socially in a specified way (a good mixer). 3 (usu. Soft) drink to be mixed with another. 4 device that receives two or more separate signals from microphones etc. And combines them in a single output.
mixture n.  1 process or result of mixing. 2 combination of ingredients, qualities, characteristics, etc. [latin: related to *mixed]
mode n.  1 way in which a thing is done. 2 prevailing fashion or custom. 3 mus. Any of several types of scale. [french and latin modus measure]
modem n.  Combined device for modulation and demodulation, e.g. Between a computer and a telephone line. [portmanteau word]
moderator n.  1 arbitrator, mediator. 2 presiding officer. 3 presbyterian minister presiding over an ecclesiastical body. 4 physics substance used in a nuclear reactor to retard neutrons.
modify v.  (-ies, -ied) 1 make less severe or extreme. 2 make partial changes in. 3 gram. Qualify or expand the sense of (a word etc.). [latin: related to *mode]
module n.  1 standardized part or independent unit in construction, esp. Of furniture, a building, or an electronic system. 2 independent self-contained unit of a spacecraft. 3 unit or period of training or education.  modular adj. [latin: related to *modulus]
moisture n.  Water or other liquid diffused in a small quantity as vapour, or within a solid, or condensed on a surface.
molecular adj.  Of, relating to, or consisting of molecules.  molecularity n.
mom n.  Us colloq. Mother. [abbreviation of *momma]
moment n.  1 very brief portion of time. 2 an exact point of time (i came the moment you called). 3 importance (of no great moment). 4 product of a force and the distance from its line of action to a point.  at the moment now. In a moment very soon. Man (or woman etc.) Of the moment the one of importance at the time in question. [latin: related to *momentum]
momentum n.  (pl. Momenta) 1  quantity of motion of a moving body, the product of its mass and velocity. 2 impetus gained by movement. 3 strength or continuity derived from an initial effort. [latin moveo move]
monetary adj.  1 of the currency in use. 2 of or consisting of money. [latin: related to *money]
money n.  1 coins and banknotes as a medium of exchange. 2 (pl. -eys or -ies) (in pl.) Sums of money. 3 a wealth. B wealth as power (money talks). C rich person or family (married into money).  for my money in my opinion; for my preference. In the money colloq. Having or winning a lot of money. Money for jam (or old rope) colloq. Profit for little or no trouble. [latin moneta]
monster n.  1 imaginary creature, usu. Large and frightening, made up of incongruous elements. 2 inhumanly cruel or wicked person. 3 misshapen animal or plant. 4 large, usu. Ugly, animal or thing. 5 (attrib.) Huge. [latin monstrum from moneo warn]
month n.  1 (in full calendar month) a each of twelve periods into which a year is divided. B period of time between the same dates in successive calendar months. 2 period of 28 days. [old english]
morning n.  1 early part of the day, ending at noon or lunch-time (this morning; during the morning). 2 attrib. Taken, occurring, or appearing during the morning (morning coffee).  in the morning colloq. Tomorrow morning. [from *morn]
morocco n.  (pl. -s) fine flexible leather of goatskin tanned with sumac. [morocco in nw africa]
mortality n.  (pl. -ies) 1 being subject to death. 2 loss of life on a large scale. 3 a number of deaths in a given period etc. B (in full mortality rate) death rate.
moss n.  1 small flowerless plant growing in dense clusters in bogs, on the ground, trees, stones, etc. 2 scot. & n.engl. Bog, esp. A peatbog.  mossy adj. (-ier, -iest). [old english]
motel n.  Roadside hotel for motorists. [from motor hotel]
mountain n.  1 large abrupt natural elevation of the ground. 2 large heap or pile; huge quantity. 3 large surplus stock (butter mountain).  make a mountain out of a molehill see *molehill. [latin: related to *mount2]
mounting n.  1 = *mount1 n. 1. 2 in senses of *mount1 v.
movement n.  1 a moving or being moved. B instance of this (watched his every movement). 2 moving parts of a mechanism (esp. A clock or watch). 3 a body of persons with a common object (peace movement). B campaign undertaken by them. 4 (in pl.) Person's activities and whereabouts. 5 mus. Principal division of a longer musical work. 6 motion of the bowels. 7 rise or fall in price(s) on the stock market. 8 progress.
movie n.  Esp. Us colloq. Cinema film.
moving adj.  Emotionally affecting.  movingly adv.
mrs n.  (pl. Same) title of a married woman without a higher title (mrs jones). [abbreviation of *mistress]
mud n.  Soft wet earth.  fling (or sling or throw) mud speak disparagingly or slanderously. One's name is mud one is in disgrace. [german]
municipal adj.  Of a municipality or its self-government.  municipalize v. (also -ise) (-zing or -sing). Municipally adv. [latin municipium free city]
museum n.  Building used for storing and exhibiting objects of historical, scientific, or cultural interest. [greek: related to *muse2]
music n.  1 art of combining vocal or instrumental sounds in a harmonious or expressive way. 2 sounds so produced. 3 musical composition. 4 written or printed score of this. 5 pleasant natural sound.  music to one's ears something one is pleased to hear. [greek: related to *muse2]
musician n.  Person who plays a musical instrument, esp. Professionally.  musicianly adj. Musicianship n. [french: related to *music]
mustang n.  Small wild horse of mexico and california. [spanish]
mutual adj.  1 (of feelings, actions, etc.) Experienced or done by each of two or more parties to or towards the other(s) (mutual affection). 2 colloq. Common to two or more persons (a mutual friend). 3 having the same (specified) relationship to each other (mutual well-wishers).  mutuality n. Mutually adv. [latin mutuus borrowed]
myrtle n.  Evergreen shrub with shiny leaves and white scented flowers. [greek murtos]
mystery n.  (pl. -ies) 1 secret, hidden, or inexplicable matter. 2 secrecy or obscurity. 3 (attrib.) Secret, undisclosed (mystery guest). 4 practice of making a secret of things (engaged in mystery and intrigue). 5 (in full mystery story) fictional work dealing with a puzzling event, esp. A murder. 6 a religious truth divinely revealed. 7 (in pl.) A secret religious rites of the ancient greeks, romans, etc. B archaic eucharist. [greek musterion: related to *mystic]
myth n.  1 traditional story usu. Involving supernatural or imaginary persons and embodying popular ideas on natural or social phenomena etc. 2 such narratives collectively. 3 widely held but false notion. 4 fictitious person, thing, or idea. 5 allegory (platonic myth).  mythical adj. Mythically adv. [greek muthos]
nancy n.  (pl. -ies) (in full nancy boy) slang offens. Effeminate man, esp. A homosexual. [pet form of ann]
nation n.  Community of people of mainly common descent, history, language, etc., forming a state or inhabiting a territory. [latin: related to *natal]
nature n.  1 thing's or person's innate or essential qualities or character. 2 (often nature) a physical power causing all material phenomena. B these phenomena. 3 kind or class (things of this nature). 4 inherent impulses determining character or action.  by nature innately. In (or by) the nature of things 1 inevitable. 2 inevitably. [latin natura: related to *natal]
naughty adj.  (-ier, -iest) 1 (esp. Of children) disobedient; badly behaved. 2 colloq. Joc. Indecent.  naughtily adv. Naughtiness n. [from *naught]
naval adj.  1 of the or a navy. 2 of ships. [latin navis ship]
navigate v.  (-ting) 1 manage or direct the course of (a ship or aircraft) using maps and instruments. 2 a sail on (a sea, river, etc.). B fly through (the air). 3 (in a car etc.) Assist the driver by map-reading etc. 4 sail a ship; sail in a ship.  navigator n. [latin navigo from navis]
navy n.  (pl. -ies) 1 (often the navy) a whole body of a state's ships of war, including crews, maintenance systems, etc. B officers and men of a navy. 2 (in full navy blue) dark-blue colour as of naval uniforms. 3 poet. Fleet of ships. [romanic navia ship: related to *naval]
necessity n.  (pl. -ies) 1 indispensable thing. 2 pressure of circumstances. 3 imperative need. 4 want; poverty. 5 constraint or compulsion regarded as a natural law governing all human action.  of necessity unavoidably.
necklace n.  1 chain or string of beads, precious stones, etc., worn round the neck. 2 s.afr. Tyre soaked or filled with petrol, placed round a victim's neck, and set alight.
nelson n.  Wrestling-hold in which one arm is passed under the opponent's arm from behind and the hand is applied to the neck (half nelson), or both arms and hands are applied (full nelson). [apparently from the name nelson]
neon n.  Inert gaseous element giving an orange glow when electricity is passed through it. [greek, = new]
nervous adj.  1 easily upset, timid, highly strung. 2 anxious. 3 affecting the nerves. 4 (foll. By of + verbal noun) afraid (am nervous of meeting them).  nervously adv. Nervousness n.
neural adj.  Of a nerve or the central nervous system. [greek neuron nerve]
newspaper n.  1 printed publication of loose folded sheets containing news, advertisements, correspondence, etc. 2 paper forming this (wrapped in newspaper).
newton n.  Si unit of force that, acting on a mass of one kilogram, increases its velocity by one metre per second every second. [newton, name of a scientist]
nice adj.  1 pleasant, satisfactory. 2 (of a person) kind, good-natured. 3 iron. Bad or awkward (nice mess). 4 fine or subtle (nice distinction). 5 fastidious; delicately sensitive. 6 (foll. By an adj., often with and) satisfactory in terms of the quality described (a nice long time; nice and warm).  nicely adv. Niceness n. Nicish adj. (also niceish). [originally = foolish, from latin nescius ignorant]
nickel n.  1 silver-white metallic element, used esp. In magnetic alloys. 2 colloq. Us five-cent coin. [german]
night n.  1 period of darkness between one day and the next; time from sunset to sunrise. 2 nightfall. 3 darkness of night. 4 night or evening appointed for some activity regarded in a certain way (last night of the proms). [old english]
nightmare n.  1 frightening dream. 2 colloq. Frightening or unpleasant experience or situation. 3 haunting fear.  nightmarish adj. [evil spirit (incubus) once thought to lie on and suffocate sleepers: old english mære incubus]
nil n.  Nothing; no number or amount (esp. As a score in games). [latin]
nine adj.  & n. 1 one more than eight. 2 symbol for this (9, ix, ix). 3 size etc. Denoted by nine. [old english]
nirvana n.  (in buddhism) perfect bliss attained by the extinction of individuality. [sanskrit, = extinction]
nitrogen n.   Gaseous element that forms four-fifths of the atmosphere.  nitrogenous adj. [french]
node n.  1  a part of a plant stem from which leaves emerge. B knob on a root or branch. 2  natural swelling. 3  either of two points at which a planet's orbit intersects the plane of the ecliptic or the celestial equator. 4  point of minimum disturbance in a standing wave system. 5 point at which a curve intersects itself. 6 component in a computer network.  nodal adj. [latin nodus knot]
noon n.  Twelve o'clock in the day, midday. [latin nona (hora) ninth (hour): originally = 3 p.m.]
norm n.  1 standard, pattern, or type. 2 standard amount of work etc. 3 customary behaviour etc. [latin norma carpenter's square]
northern adj.  Of or in the north.  northernmost adj.  [old english]
notebook n.  Small book for making notes in.
notify v.  (-ies, -ied) 1 (often foll. By of or that) inform or give formal notice to (a person). 2 make known.  notification n. [latin notus known]
notion n.  1 a concept or idea; conception. B opinion. C vague view or understanding. 2 inclination or intention. [latin notio: related to *notify]
nova n.  (pl. Novae or -s) star showing a sudden burst of brightness and then subsiding. [latin, = new]
novelty n.  (pl. -ies) 1 newness. 2 new or unusual thing or occurrence. 3 small toy or trinket. [related to *novel2]
november n.  Eleventh month of the year. [latin novem nine, originally the 9th month of the roman year]
nuclear adj.  1 of, relating to, or constituting a nucleus. 2 using nuclear energy.
nudist n.  Person who advocates or practises going unclothed.  nudism n.
null adj.  1 (esp. Null and void) invalid. 2 non-existent. 3 without character or expression.  nullity n. [latin nullus none]
numerical adj.  Of or relating to a number or numbers.  numerically adv. [medieval latin: related to *number]
numerous adj.  1 many. 2 consisting of many. [latin: related to *number]
nursery n.  (pl. -ies) 1 a a room or place equipped for young children. B = *day nursery. 2 place where plants are reared for sale. [probably anglo-french: related to *nurse]
nut n.  1 a fruit consisting of a hard or tough shell around an edible kernel. B this kernel. 2 pod containing hard seeds. 3 small usu. Hexagonal flat piece of metal etc. With a threaded hole through it for screwing on the end of a bolt to secure it. 4 slang person's head. 5 slang crazy or eccentric person. 6 small lump (of coal etc.). 7 (in pl.) Coarse slang testicles. do one's nut slang be extremely angry. [old english]
nutrition n.  Food, nourishment.  nutritional adj. Nutritionist n.
nylon n.  1 tough light elastic synthetic fibre. 2 nylon fabric. 3 (in pl.) Stockings of nylon. [invented word]
oak n.  1 acorn-bearing tree with lobed leaves. 2 its durable wood. 3 (attrib.) Of oak. 4 (the oaks) (treated as sing.) Annual race at epsom for fillies. [old english]
oasis n.  (pl. Oases) 1 fertile place in a desert. 2 area or period of calm in the midst of turbulence. [latin from greek]
observe v.  (-ving) 1 perceive, become aware of. 2 watch carefully. 3 a follow or keep (rules etc.). B celebrate or perform (an occasion, rite, etc.). 4 remark. 5 take note of scientifically.  observable adj. [latin servo watch, keep]
observer n.  1 person who observes. 2 interested spectator. 3 person who attends a meeting etc. To note the proceedings but does not participate.
obtain v.  1 acquire, secure; have granted to one, get. 2 be in vogue, prevail.  obtainable adj. [latin teneo hold]
obvious adj.  Easily seen, recognized, or understood.  obviously adv. Obviousness n. [latin ob viam in the way]
occur v.  (-rr-) 1 come into being as an event or process. 2 exist or be encountered in some place or conditions. 3 (foll. By to) come into the mind of. [latin occurro befall]
ocean n.  1 large expanse of sea, esp. Each of the main areas called the atlantic, pacific, indian, arctic, and antarctic oceans. 2 (often in pl.) Colloq. Very large expanse or quantity.  oceanic adj. [greek okeanos]
october n.  Tenth month of the year. [latin octo eight, originally the 8th month of the roman year]
odd adj.  1 strange, remarkable, eccentric. 2 casual, occasional (odd jobs; odd moments). 3 not normally considered; unconnected (in some odd corner; picks up odd bargains). 4 a (of numbers) not integrally divisible by two, e.g. 1, 3, 5. B bearing such a number (no parking on odd dates). 5 left over when the rest have been distributed or divided into pairs (odd sock). 6 detached from a set or series (odd volumes). 7 (appended to a number, sum, weight, etc.) Somewhat more than (forty odd; forty-odd people). 8 by which a round number, given sum, etc., is exceeded (we have 102 – do you want the odd 2?).  oddly adv. Oddness n. [old norse oddi angle, point, third or odd number]
offense n.  (brit. Offence) 1 illegal act; transgression. 2 upsetting of feelings, insult; umbrage (give offence; take offence). 3 aggressive action. [related to *offend]
offering n.  1 contribution or gift, esp. Of money. 2 thing offered as a sacrifice etc.
office n.  1 room or building used as a place of business, esp. For clerical or administrative work. 2 room or area for a particular business (ticket office). 3 local centre of a large business (our london office). 4 position with duties attached to it. 5 tenure of an official position (hold office). 6 (office) quarters, staff, or collective authority of a government department etc. (foreign office). 7 duty, task, function. 8 (usu. In pl.) Piece of kindness; service (esp. Through the good offices of). 9 authorized form of worship. [latin officium from opus work, facio fic- do]
officer n.  1 person holding a position of authority or trust, esp. One with a commission in the army, navy, air force, etc. 2 policeman or policewoman. 3 holder of a post in a society (e.g. The president or secretary).
offshore adj.  1 at sea some distance from the shore. 2 (of the wind) blowing seawards.
old adj.  (older, oldest) 1 a advanced in age; far on in the natural period of existence. B not young or near its beginning. 2 made long ago. 3 long in use. 4 worn, dilapidated, or shabby from the passage of time. 5 having the characteristics of age (child has an old face). 6 practised, inveterate (old offender). 7 belonging to the past; lingering on; former (old times; old memories; our old house). 8 dating from far back; long established or known; ancient, primeval (an old family; old friends; old as the hills). 9 (appended to a period of time) of age (is four years old; four-year-old boy; a four-year-old). 10 (of a language) as used in former or earliest times. 11 colloq. As a term of affection or casual reference (good old charlie; old thing).  oldish adj. Oldness n. [old english]
omega n.  1 last (24th) letter of the greek alphabet (w, w). 2 last of a series; final development. [greek o mega = great o]
ongoing adj.  1 continuing. 2 in progress.
onion n.  Vegetable with an edible bulb of a pungent smell and flavour.  oniony adj. [latin unio -onis]
operate v.  (-ting) 1 work, control. 2 be in action; function. 3 a perform a surgical operation. B conduct a military etc. Action. C be active in business etc. 4 bring about. [latin operor work: related to *opus]
operation n.  1 action, scope, or method of working or operating. 2 active process. 3 piece of work, esp. One in a series (begin operations). 4 act of surgery on a patient. 5 military manoeuvre. 6 financial transaction. 7 state of functioning (in operation). 8 subjection of a number etc. To a process affecting its value or form, e.g. Multiplication. [latin: related to *operate]
operator n.  1 person operating a machine etc., esp. Connecting lines in a telephone exchange. 2 person engaging in business. 3 colloq. Person acting in a specified way (smooth operator). 4 symbol or function denoting an operation in mathematics, computing, etc.
opinion n.  1 unproven belief. 2 view held as probable. 3 what one thinks about something. 4 piece of professional advice (a second opinion). 5 estimation (low opinion of). [latin: related to *opine]
opponent n.  Person who opposes. [latin oppono opposit- set against]
opt v.  (usu. Foll. By for) make a choice, decide.  opt out (often foll. By of) choose not to participate (in). [latin opto choose, wish]
optical adj.  1 of sight; visual. 2 of or according to optics. 3 aiding sight.  optically adv.
optimal adj.  Best or most favourable. [latin optimus best]
optimize v.  (also -ise) (-zing or -sing) make the best or most effective use of.  optimization n.
option n.  1 a choosing; choice. B thing that is or may be chosen. 2 liberty to choose. 3 right to buy or sell at a specified price within a set time.  keep (or leave) one's options open not commit oneself. [latin: related to *opt]
optional adj.  Not obligatory. optionally adv.
oracle n.  1 a place at which divine advice or prophecy was sought in classical antiquity. B response given. C prophet or prophetess at an oracle. 2 person or thing regarded as a source of wisdom etc. 3 (oracle) propr. Teletext service provided by independent television.  oracular adj. [latin oraculum from oro speak]
orchestra n.  1 large group of instrumentalists combining strings, woodwinds, brass, and percussion. 2 (in full orchestra pit) part of a theatre etc. Where the orchestra plays, usu. In front of the stage and on a lower level.  orchestral adj. [greek, = area for the chorus in drama]
ordinance n.  1 decree. 2 religious rite. [latin: related to *ordain]
organic adj.  1 of or affecting a bodily organ or organs. 2 (of a plant or animal) having organs or an organized physical structure. 3 produced without the use of artificial fertilizers, pesticides, etc. 4 (of a chemical compound etc.) Containing carbon. 5 a structural, inherent. B constitutional. 6 organized or systematic (an organic whole).  organically adv. [greek: related to *organ]
organize v.  (also -ise) (-zing or -sing) 1 a give an orderly structure to, systematize. B make arrangements for (a person or oneself). 2 initiate, arrange for. 3 (often absol.) A enlist (a person or group) in a trade union, political party, etc. B form (a trade union etc.). 4 (esp. As organized adj.) Make organic; make into living tissue.  organizer n. [latin: related to *organ]
origin n.  1 starting-point; source. 2 (often in pl.) Ancestry, parentage. 3 math. Point from which coordinates are measured. [latin origo origin- from orior rise]
oscar n.  Any of the statuettes awarded by the us academy of motion picture arts and sciences for excellence in film acting, directing, etc. [man's name]
outcome n.  Result.
outer adj.  1 outside; external (pierced the outer layer). 2 farther from the centre or the inside.  outermost adj.
outlet n.  1 means of exit or escape. 2 means of expressing feelings. 3 a market for goods. B shop (retail outlet).
outlook n.  1 prospect, view. 2 mental attitude.
oven n.  Enclosed compartment for heating or cooking food etc. [old english]
overcome v.  (-ming; past -came; past part. -come) 1 prevail over, master, be victorious. 2 (usu. As overcome adj.) A make faint (overcome by smoke). B (usu. Foll. By with, by) make weak or helpless (overcome with grief).
overview n.  General survey.
owner n.  Person who owns something.  ownership n.
oxide n.  Binary compound of oxygen. [french: related to *oxygen]
oxygen n.  Tasteless odourless gaseous element essential to plant and animal life. [greek oxus sharp, *-gen (because it was thought to be present in all acids)]
ozone n.  1 chem. Unstable form of oxygen with three atoms in a molecule, having a pungent odour. 2 colloq. A invigorating air at the seaside etc. B exhilarating influence. [greek ozo smell (v.)]
packaging n.  1 wrapping or container for goods. 2 process of packing goods.
packet n.  1 small package. 2 colloq. Large sum of money won, lost, or spent. 3 (in full packet-boat) hist. Mail-boat or passenger ship.
packing n.  Material used to pack esp. Fragile articles.
painful adj.  1 causing bodily or mental pain. 2 (esp. Of part of the body) suffering pain. 3 causing trouble or difficulty; laborious (painful climb).  painfully adv.
painting n.  1 process or art of using paint. 2 painted picture.
palace n.  1 official residence of a sovereign, president, archbishop, or bishop. 2 splendid or spacious building. [latin palatium]
panama n.  Straw hat with a brim and indented crown. [panama in central america]
paperback n.  (often attrib.) Book bound in paper or card, not boards.
par n.  1 average or normal amount, degree, condition, etc. (feel below par). 2 equality; equal status or footing (on a par with). 3 golf number of strokes a first-class player should normally require for a hole or course. 4 face value of stocks and shares etc. (at par). 5 (in full par of exchange) recognized value of one country's currency in terms of another's.  par for the course colloq. What is normal or to be expected. [latin, = equal]
para n.  Colloq. 1 paratrooper. 2 paragraph. [abbreviation]
paradise n.  1 (in some religions) heaven. 2 place or state of complete happiness. 3 (in full earthly paradise) abode of adam and eve; garden of eden.  paradisaical adj. Paradisal adj. Paradisiacal adj. Paradisical adj. [greek paradeisos]
parameter n.  1 math. Quantity constant in the case considered but varying in different cases. 2 a (esp. Measurable or quantifiable) characteristic or feature. B (loosely) limit or boundary, esp. Of a subject for discussion. [greek *para-1, *-meter]
parenting n.  (skill of) bringing up children.
parish n.  1 area having its own church and clergyman. 2 (in full civil parish) local government district. 3 inhabitants of a parish. [latin parochia from greek oikos dwelling]
